wilayah,jenis_wilayah,tahun,bulan,bulan_ke,tpt,persentase_penduduk_miskin,gini_ratio,ipg,rls,hls,inflasi_yoy,pendidikan_indeks_sederhana,kemiskinan_pengangguran_index,gender_pendidikan_index,is_bulan_awal_tahun,is_bulan_tengah_tahun,is_bulan_akhir_tahun
Kabupaten Bekasi,Kabupaten,2022,November,11,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,0,1
Kabupaten Bekasi,Kabupaten,2022,Desember,12,10.31,5.01,0.373,90.3,9.53,13.11,,11.32,15.32,50.81,0,0,1
Kabupaten Bekasi,Kabupaten,2023,Januari,1,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,1,0,0
Kabupaten Bekasi,Kabupaten,2023,Februari,2,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,1,0,0
Kabupaten Bekasi,Kabupaten,2023,Maret,3,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,1,0,0
Kabupaten Bekasi,Kabupaten,2023,April,4,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,1,0
Kabupaten Bekasi,Kabupaten,2023,Mei,5,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,1,0
Kabupaten Bekasi,Kabupaten,2023,Juni,6,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,1,0
Kabupaten Bekasi,Kabupaten,2023,Juli,7,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,1,0
Kabupaten Bekasi,Kabupaten,2023,Agustus,8,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,1,0
Kabupaten Bekasi,Kabupaten,2023,September,9,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,0,1
Kabupaten Bekasi,Kabupaten,2023,Oktober,10,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,0,1
Kabupaten Bekasi,Kabupaten,2023,November,11,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,0,1
Kabupaten Bekasi,Kabupaten,2023,Desember,12,8.87,4.93,0.397,90.06,9.57,13.17,,11.37,13.8,50.715,0,0,1
Kabupaten Bekasi,Kabupaten,2024,Januari,1,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,1,0,0
Kabupaten Bekasi,Kabupaten,2024,Februari,2,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,1,0,0
Kabupaten Bekasi,Kabupaten,2024,Maret,3,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,1,0,0
Kabupaten Bekasi,Kabupaten,2024,April,4,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,1,0
Kabupaten Bekasi,Kabupaten,2024,Mei,5,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,1,0
Kabupaten Bekasi,Kabupaten,2024,Juni,6,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,1,0
Kabupaten Bekasi,Kabupaten,2024,Juli,7,8.82,4.8,0.367,90.18,9.76,13.18,,11.47,13.62,50.825,0,1,0
